Country,City,Capital,Population,Winter,Summer,Year,Latitude,Longitude
Italy,Aosta,0,0,1,0,1998,45.7370885,7.3196649
Italy,Cortina d'Ampezzo,0,0,2,0,2026,46.538333200000004,12.1373506
Italy,Milano,0,1358871,2,1,2026,45.4668,9.1905
Italy,Roma,1,2873147,0,2,2024,41.8933203,12.4829321
Italy,Tarvisio,0,0,1,0,2002,46.5052624,13.5783734
Italy,Torino,0,884680,2,0,2006,45.06775510000001,7.682489200000001
Japan,Fukuoka,0,1538681,0,0,0,33.6251241,130.61800159999999
Japan,Hiroshima,0,1194034,0,0,0,34.391605799999994,132.4518156
Japan,Kawasaki,0,1475213,0,0,0,35.523142,139.708024
Japan,Kobe,0,1537272,0,0,0,34.69323789999999,135.1943764
Japan,Kyoto,0,1475183,0,0,0,35.021041,135.7556075
Japan,Nagano,0,377598,2,0,1998,36.1143945,138.0319015
Japan,Nagoya,0,2295638,0,1,1988,35.1851045,136.8998438
Japan,Osaka,0,2691185,0,1,2008,34.619881299999996,135.49035700000002
Japan,Saitama,0,1263979,0,0,0,35.9754168,139.4160114
Japan,Sapporo,0,1952356,2,0,2026,43.061935999999996,141.35429240000002
Japan,Sendai,0,1082159,0,0,0,38.2677554,140.8691498
Japan,Tokyo,1,9272740,0,2,2021,35.682838700000005,139.7594549
Japan,Yokohama,0,3724844,0,0,0,35.444990999999995,139.636768
Jordan,Amman,1,3728346,0,0,0,31.951569399999997,35.9239625
Kazakhstan,Almaty,0,1828325,1,0,2022,43.2363924,76.9457275
Kazakhstan,Astana,1,1054481,0,0,0,51.15092055,71.4388595154859
Kenya,Nairobi,1,3109861,0,0,0,-1.2832533000000002,36.8172449
Madagascar,Antananarivo,1,1521898,0,0,0,-18.9100122,47.5255809
Malaysia,Kuala Lumpur,1,1824323,0,1,2008,3.1516964,101.6942371
Mali,Bamako,1,1810366,0,0,0,12.60503275,-7.986513673439357
Mexico,Aguascalientes,0,1056561,0,0,0,22.0000001,-102.5000001
Mexico,Cuernavaca,0,1032278,0,0,0,18.921827399999998,-99.2342282
Mexico,Guadalajara,0,5060750,0,0,0,20.6720375,-103.3383962
Mexico,Juárez,0,1462133,0,0,0,19.29348285,-100.46459243844755
Mexico,La Laguna,0,1417538,0,0,0,20.443863,-97.44505868410333
Mexico,León,0,1757811,0,0,0,21.1218598,-101.68250809999999
Mexico,Mexicali,0,1065882,0,0,0,32.624862199999995,-115.448325
Mexico,Mexico City,1,21800320,0,2,1968,19.4326296,-99.1331785
